freq_hz,target_mvrms,measured_mvrms,error_mvrms,amp_code,atten_db,iterations,pass_fail,reason
110000000,10.0,9.9895,-0.010500000000000398,1023,28.5,4,PASS,within tolerance
110000000,20.0,19.9089,-0.09110000000000085,1023,23.5,3,PASS,within tolerance
110000000,30.0,29.4909,-0.5091000000000001,1023,20.0,4,PASS,within tolerance
110000000,40.0,40.8716,0.8716000000000008,1023,17.5,5,PASS,within tolerance
110000000,50.0,50.1418,0.14180000000000348,1023,15.5,3,PASS,within tolerance
110000000,60.0,59.5714,-0.428600000000003,1023,14.0,3,PASS,within tolerance
110000000,70.0,70.63419999999999,0.6341999999999928,1023,12.5,3,PASS,within tolerance
110000000,80.0,80.2945,0.2944999999999993,1023,11.5,3,PASS,within tolerance
110000000,90.0,89.7195,-0.2805000000000035,1023,10.5,3,PASS,within tolerance
110000000,100.0,99.3823,-0.6176999999999992,997,9.5,5,PASS,within tolerance
110100000,10.0,9.1082,-0.8917999999999999,1023,30.0,2,PASS,within tolerance
110100000,20.0,20.555899999999998,0.5558999999999976,1023,23.5,1,PASS,within tolerance
110100000,30.0,30.6811,0.6811000000000007,1023,20.0,1,PASS,within tolerance
110100000,40.0,38.8772,-1.122799999999998,1023,18.0,8,FAIL,under target at max amp and min attenuation
110100000,50.0,50.7963,0.7963000000000022,1023,15.5,1,PASS,within tolerance
110100000,60.0,59.5125,-0.48749999999999716,1023,14.0,1,PASS,within tolerance
110100000,70.0,70.9512,0.9512,1008,12.5,4,PASS,within tolerance
110100000,80.0,79.5691,-0.43089999999999407,1003,11.5,2,PASS,within tolerance
110100000,90.0,90.3051,0.30509999999999593,1023,10.5,1,PASS,within tolerance
110100000,100.0,100.3532,0.35320000000000107,997,9.5,1,PASS,within tolerance
110200000,10.0,9.4477,-0.5523000000000007,1023,30.0,1,PASS,within tolerance
110200000,20.0,19.9282,-0.07179999999999964,1023,23.5,1,PASS,within tolerance
110200000,30.0,30.4502,0.4501999999999988,1023,20.0,1,PASS,within tolerance
110200000,40.0,39.3607,-0.6392999999999986,1023,18.0,6,PASS,within tolerance
110200000,50.0,50.2154,0.21540000000000248,1023,15.5,1,PASS,within tolerance
110200000,60.0,59.7525,-0.24750000000000227,1006,14.0,2,PASS,within tolerance
110200000,70.0,69.6862,-0.3138000000000005,992,12.5,2,PASS,within tolerance
110200000,80.0,80.3215,0.32150000000000034,1003,11.5,1,PASS,within tolerance
110200000,90.0,90.9948,0.9947999999999979,1023,10.5,1,PASS,within tolerance
110200000,100.0,99.67429999999999,-0.32570000000001187,980,9.5,2,PASS,within tolerance
110300000,10.0,9.947700000000001,-0.0522999999999989,1023,29.5,3,PASS,within tolerance
110300000,20.0,20.2119,0.21189999999999998,1023,23.5,1,PASS,within tolerance
110300000,30.0,30.12,0.120000000000001,1023,20.0,1,PASS,within tolerance
110300000,40.0,38.951699999999995,-1.0483000000000047,1023,18.0,1,FAIL,under target at max amp and min attenuation
110300000,50.0,49.0088,-0.9911999999999992,1000,15.5,2,PASS,within tolerance
110300000,60.0,59.8915,-0.10849999999999937,1006,14.0,1,PASS,within tolerance
110300000,70.0,70.1493,0.14929999999999666,992,12.5,1,PASS,within tolerance
110300000,80.0,80.6925,0.6924999999999955,1003,11.5,1,PASS,within tolerance
110300000,90.0,89.5425,-0.457499999999996,997,10.5,2,PASS,within tolerance
110300000,100.0,99.8304,-0.16960000000000264,980,9.5,1,PASS,within tolerance
110400000,10.0,10.7124,0.7124000000000006,1023,29.5,1,PASS,within tolerance
110400000,20.0,20.372700000000002,0.3727000000000018,1023,23.5,1,PASS,within tolerance
110400000,30.0,30.8587,0.8586999999999989,1023,20.0,1,PASS,within tolerance
110400000,40.0,39.5063,-0.4936999999999969,1023,18.0,3,PASS,within tolerance
110400000,50.0,49.9881,-0.011899999999997135,1000,15.5,1,PASS,within tolerance
110400000,60.0,59.5683,-0.4316999999999993,988,14.0,2,PASS,within tolerance
110400000,70.0,70.3883,0.388300000000001,992,12.5,1,PASS,within tolerance
110400000,80.0,80.5497,0.5497000000000014,1003,11.5,1,PASS,within tolerance
110400000,90.0,89.6067,-0.39329999999999643,997,10.5,1,PASS,within tolerance
110400000,100.0,100.87509999999999,0.8750999999999891,980,9.5,1,PASS,within tolerance
110500000,10.0,10.9647,0.9647000000000006,1023,29.5,1,PASS,within tolerance
110500000,20.0,20.4075,0.40749999999999886,1023,23.5,1,PASS,within tolerance
110500000,30.0,29.4725,-0.5274999999999999,1023,20.5,2,PASS,within tolerance
110500000,40.0,39.3082,-0.6918000000000006,1023,18.0,1,PASS,within tolerance
110500000,50.0,50.5471,0.5471000000000004,1000,15.5,1,PASS,within tolerance
110500000,60.0,59.107,-0.8930000000000007,988,14.0,1,PASS,within tolerance
110500000,70.0,70.3053,0.30530000000000257,970,12.5,4,PASS,within tolerance
110500000,80.0,79.6815,-0.3185000000000002,982,11.5,2,PASS,within tolerance
110500000,90.0,90.79260000000001,0.7926000000000073,985,10.5,2,PASS,within tolerance
110500000,100.0,100.3984,0.3983999999999952,968,9.5,2,PASS,within tolerance
110600000,10.0,10.846,0.8460000000000001,1023,29.5,1,PASS,within tolerance
110600000,20.0,20.299999999999997,0.29999999999999716,1023,23.5,1,PASS,within tolerance
110600000,30.0,29.1054,-0.8946000000000005,1023,20.5,1,PASS,within tolerance
110600000,40.0,38.8751,-1.1248999999999967,1023,18.0,1,FAIL,under target at max amp and min attenuation
110600000,50.0,50.420899999999996,0.42089999999999606,1000,15.5,1,PASS,within tolerance
110600000,60.0,60.0745,0.07450000000000045,988,14.0,1,PASS,within tolerance
110600000,70.0,69.547,-0.45300000000000296,952,12.5,2,PASS,within tolerance
110600000,80.0,80.30199999999999,0.3019999999999925,982,11.5,1,PASS,within tolerance
110600000,90.0,90.3412,0.3412000000000006,985,10.5,1,PASS,within tolerance
110600000,100.0,100.928,0.9279999999999973,968,9.5,1,PASS,within tolerance
110700000,10.0,10.2151,0.21509999999999962,1023,29.5,1,PASS,within tolerance
110700000,20.0,20.9202,0.9202000000000012,1023,23.5,1,PASS,within tolerance
110700000,30.0,29.186500000000002,-0.8134999999999977,1023,20.5,1,PASS,within tolerance
110700000,40.0,39.4837,-0.5163000000000011,1023,18.0,1,PASS,within tolerance
110700000,50.0,49.6537,-0.3462999999999994,973,16.0,5,PASS,within tolerance
110700000,60.0,59.3057,-0.6942999999999984,988,14.0,1,PASS,within tolerance
110700000,70.0,70.0588,0.05880000000000507,952,12.5,1,PASS,within tolerance
110700000,80.0,79.85979999999999,-0.1402000000000072,968,11.5,2,PASS,within tolerance
110700000,90.0,90.0166,0.01659999999999684,985,10.5,1,PASS,within tolerance
110700000,100.0,99.5395,-0.46049999999999613,953,9.5,2,PASS,within tolerance
110800000,10.0,9.7723,-0.22770000000000046,1023,29.5,1,PASS,within tolerance
110800000,20.0,20.5793,0.5792999999999999,1023,23.5,1,PASS,within tolerance
110800000,30.0,29.101499999999998,-0.8985000000000021,1023,20.5,1,PASS,within tolerance
110800000,40.0,40.3889,0.3888999999999996,1023,18.0,1,PASS,within tolerance
110800000,50.0,49.4972,-0.5028000000000006,973,16.0,1,PASS,within tolerance
110800000,60.0,59.4206,-0.5793999999999997,988,14.0,1,PASS,within tolerance
110800000,70.0,70.4825,0.4825000000000017,952,12.5,1,PASS,within tolerance
110800000,80.0,80.1334,0.13339999999999463,968,11.5,1,PASS,within tolerance
110800000,90.0,89.884,-0.11599999999999966,970,10.5,2,PASS,within tolerance
110800000,100.0,100.0814,0.08140000000000214,953,9.5,1,PASS,within tolerance
110900000,10.0,9.6416,-0.3583999999999996,1023,29.5,1,PASS,within tolerance
110900000,20.0,20.6093,0.6093000000000011,1023,24.0,2,PASS,within tolerance
110900000,30.0,30.5643,0.5642999999999994,1023,20.5,1,PASS,within tolerance
110900000,40.0,40.211999999999996,0.2119999999999962,1023,18.0,1,PASS,within tolerance
110900000,50.0,49.4041,-0.5959000000000003,973,16.0,1,PASS,within tolerance
110900000,60.0,60.1066,0.10660000000000025,988,14.0,1,PASS,within tolerance
110900000,70.0,69.7708,-0.22920000000000584,952,12.5,1,PASS,within tolerance
110900000,80.0,79.6537,-0.3462999999999994,968,11.5,1,PASS,within tolerance
110900000,90.0,90.63980000000001,0.6398000000000081,970,10.5,1,PASS,within tolerance
110900000,100.0,100.15,0.15000000000000568,953,9.5,1,PASS,within tolerance
111000000,10.0,10.3344,0.3344000000000005,1023,29.5,1,PASS,within tolerance
111000000,20.0,20.517400000000002,0.5174000000000021,1023,24.0,1,PASS,within tolerance
111000000,30.0,29.831699999999998,-0.16830000000000211,1023,20.5,1,PASS,within tolerance
111000000,40.0,40.2656,0.26559999999999917,1023,18.0,1,PASS,within tolerance
111000000,50.0,50.526,0.5260000000000034,973,16.0,1,PASS,within tolerance
111000000,60.0,60.0737,0.07370000000000232,967,14.0,2,PASS,within tolerance
111000000,70.0,70.9499,0.9498999999999995,952,12.5,1,PASS,within tolerance
111000000,80.0,80.7388,0.7387999999999977,968,11.5,1,PASS,within tolerance
111000000,90.0,89.9303,-0.06969999999999743,970,10.5,1,PASS,within tolerance
111000000,100.0,99.915,-0.08499999999999375,939,9.5,2,PASS,within tolerance
111100000,10.0,9.4422,-0.5578000000000003,1023,29.5,1,PASS,within tolerance
111100000,20.0,20.975,0.9750000000000014,1023,24.0,1,PASS,within tolerance
111100000,30.0,29.9866,-0.013400000000000745,1023,20.5,3,PASS,within tolerance
111100000,40.0,39.300000000000004,-0.6999999999999957,1023,18.5,6,PASS,within tolerance
111100000,50.0,50.7427,0.7426999999999992,973,16.0,1,PASS,within tolerance
111100000,60.0,60.672200000000004,0.6722000000000037,967,14.0,1,PASS,within tolerance
111100000,70.0,70.25399999999999,0.2539999999999907,934,12.5,2,PASS,within tolerance
111100000,80.0,79.3065,-0.6935000000000002,949,11.5,2,PASS,within tolerance
111100000,90.0,89.9195,-0.08050000000000068,958,10.5,2,PASS,within tolerance
111100000,100.0,99.2809,-0.7190999999999974,929,9.5,2,PASS,within tolerance
111200000,10.0,9.8096,-0.19040000000000035,1023,29.5,1,PASS,within tolerance
111200000,20.0,20.084,0.08399999999999963,1023,24.0,1,PASS,within tolerance
111200000,30.0,30.349899999999998,0.3498999999999981,1023,20.5,1,PASS,within tolerance
