t_s,ch3_v
-4.000000000000e-04,0.000000000e+00
-3.999976000000e-04,2.000000000e-02
-3.999952000000e-04,0.000000000e+00
-3.999928000000e-04,2.000000000e-02
-3.999904000000e-04,4.000000000e-02
-3.999880000000e-04,0.000000000e+00
-3.999856000000e-04,2.000000000e-02
-3.999832000000e-04,2.000000000e-02
-3.999808000000e-04,4.000000000e-02
-3.999784000000e-04,0.000000000e+00
-3.999760000000e-04,0.000000000e+00
-3.999736000000e-04,0.000000000e+00
-3.999712000000e-04,2.000000000e-02
-3.999688000000e-04,4.000000000e-02
-3.999664000000e-04,-2.000000000e-02
-3.999640000000e-04,0.000000000e+00
-3.999616000000e-04,2.000000000e-02
-3.999592000000e-04,0.000000000e+00
-3.999568000000e-04,0.000000000e+00
-3.999544000000e-04,2.000000000e-02
-3.999520000000e-04,2.000000000e-02
-3.999496000000e-04,0.000000000e+00
-3.999472000000e-04,0.000000000e+00
-3.999448000000e-04,0.000000000e+00
-3.999424000000e-04,2.000000000e-02
-3.999400000000e-04,2.000000000e-02
-3.999376000000e-04,2.000000000e-02
-3.999352000000e-04,0.000000000e+00
-3.999328000000e-04,2.000000000e-02
-3.999304000000e-04,0.000000000e+00
-3.999280000000e-04,0.000000000e+00
-3.999256000000e-04,4.000000000e-02
-3.999232000000e-04,0.000000000e+00
-3.999208000000e-04,0.000000000e+00
-3.999184000000e-04,2.000000000e-02
-3.999160000000e-04,2.000000000e-02
-3.999136000000e-04,2.000000000e-02
-3.999112000000e-04,2.000000000e-02
-3.999088000000e-04,2.000000000e-02
-3.999064000000e-04,0.000000000e+00
-3.999040000000e-04,4.000000000e-02
-3.999016000000e-04,2.000000000e-02
-3.998992000000e-04,0.000000000e+00
-3.998968000000e-04,2.000000000e-02
-3.998944000000e-04,0.000000000e+00
-3.998920000000e-04,0.000000000e+00
-3.998896000000e-04,0.000000000e+00
-3.998872000000e-04,0.000000000e+00
-3.998848000000e-04,0.000000000e+00
-3.998824000000e-04,4.000000000e-02
-3.998800000000e-04,0.000000000e+00
-3.998776000000e-04,0.000000000e+00
-3.998752000000e-04,4.000000000e-02
-3.998728000000e-04,0.000000000e+00
-3.998704000000e-04,2.000000000e-02
-3.998680000000e-04,0.000000000e+00
-3.998656000000e-04,2.000000000e-02
-3.998632000000e-04,2.000000000e-02
-3.998608000000e-04,2.000000000e-02
-3.998584000000e-04,2.000000000e-02
-3.998560000000e-04,0.000000000e+00
-3.998536000000e-04,0.000000000e+00
-3.998512000000e-04,2.000000000e-02
-3.998488000000e-04,4.000000000e-02
-3.998464000000e-04,0.000000000e+00
-3.998440000000e-04,4.000000000e-02
-3.998416000000e-04,2.000000000e-02
-3.998392000000e-04,0.000000000e+00
-3.998368000000e-04,2.000000000e-02
-3.998344000000e-04,2.000000000e-02
-3.998320000000e-04,2.000000000e-02
-3.998296000000e-04,4.000000000e-02
-3.998272000000e-04,0.000000000e+00
-3.998248000000e-04,0.000000000e+00
-3.998224000000e-04,2.000000000e-02
-3.998200000000e-04,0.000000000e+00
-3.998176000000e-04,2.000000000e-02
-3.998152000000e-04,0.000000000e+00
-3.998128000000e-04,0.000000000e+00
-3.998104000000e-04,2.000000000e-02
-3.998080000000e-04,0.000000000e+00
-3.998056000000e-04,2.000000000e-02
-3.998032000000e-04,4.000000000e-02
-3.998008000000e-04,0.000000000e+00
-3.997984000000e-04,2.000000000e-02
-3.997960000000e-04,2.000000000e-02
-3.997936000000e-04,4.000000000e-02
-3.997912000000e-04,0.000000000e+00
-3.997888000000e-04,2.000000000e-02
-3.997864000000e-04,0.000000000e+00
-3.997840000000e-04,2.000000000e-02
-3.997816000000e-04,0.000000000e+00
-3.997792000000e-04,0.000000000e+00
-3.997768000000e-04,2.000000000e-02
-3.997744000000e-04,2.000000000e-02
-3.997720000000e-04,2.000000000e-02
-3.997696000000e-04,2.000000000e-02
-3.997672000000e-04,2.000000000e-02
-3.997648000000e-04,0.000000000e+00
-3.997624000000e-04,2.000000000e-02
-3.997600000000e-04,0.000000000e+00
-3.997576000000e-04,4.000000000e-02
-3.997552000000e-04,0.000000000e+00
-3.997528000000e-04,0.000000000e+00
-3.997504000000e-04,2.000000000e-02
-3.997480000000e-04,0.000000000e+00
-3.997456000000e-04,0.000000000e+00
-3.997432000000e-04,0.000000000e+00
-3.997408000000e-04,2.000000000e-02
-3.997384000000e-04,0.000000000e+00
-3.997360000000e-04,0.000000000e+00
-3.997336000000e-04,0.000000000e+00
-3.997312000000e-04,0.000000000e+00
-3.997288000000e-04,0.000000000e+00
-3.997264000000e-04,0.000000000e+00
-3.997240000000e-04,0.000000000e+00
-3.997216000000e-04,0.000000000e+00
-3.997192000000e-04,0.000000000e+00
-3.997168000000e-04,0.000000000e+00
-3.997144000000e-04,0.000000000e+00
-3.997120000000e-04,2.000000000e-02
-3.997096000000e-04,4.000000000e-02
-3.997072000000e-04,0.000000000e+00
-3.997048000000e-04,2.000000000e-02
-3.997024000000e-04,2.000000000e-02
-3.997000000000e-04,2.000000000e-02
-3.996976000000e-04,0.000000000e+00
-3.996952000000e-04,0.000000000e+00
-3.996928000000e-04,2.000000000e-02
-3.996904000000e-04,2.000000000e-02
-3.996880000000e-04,0.000000000e+00
-3.996856000000e-04,0.000000000e+00
-3.996832000000e-04,4.000000000e-02
-3.996808000000e-04,2.000000000e-02
-3.996784000000e-04,0.000000000e+00
-3.996760000000e-04,0.000000000e+00
-3.996736000000e-04,0.000000000e+00
-3.996712000000e-04,2.000000000e-02
-3.996688000000e-04,2.000000000e-02
-3.996664000000e-04,0.000000000e+00
-3.996640000000e-04,0.000000000e+00
-3.996616000000e-04,2.000000000e-02
-3.996592000000e-04,0.000000000e+00
-3.996568000000e-04,0.000000000e+00
-3.996544000000e-04,2.000000000e-02
-3.996520000000e-04,4.000000000e-02
-3.996496000000e-04,0.000000000e+00
-3.996472000000e-04,2.000000000e-02
-3.996448000000e-04,0.000000000e+00
-3.996424000000e-04,0.000000000e+00
-3.996400000000e-04,2.000000000e-02
-3.996376000000e-04,0.000000000e+00
-3.996352000000e-04,0.000000000e+00
-3.996328000000e-04,2.000000000e-02
-3.996304000000e-04,0.000000000e+00
-3.996280000000e-04,2.000000000e-02
-3.996256000000e-04,-2.000000000e-02
-3.996232000000e-04,0.000000000e+00
-3.996208000000e-04,0.000000000e+00
-3.996184000000e-04,2.000000000e-02
-3.996160000000e-04,0.000000000e+00
-3.996136000000e-04,2.000000000e-02
-3.996112000000e-04,0.000000000e+00
-3.996088000000e-04,0.000000000e+00
-3.996064000000e-04,2.000000000e-02
-3.996040000000e-04,4.000000000e-02
-3.996016000000e-04,0.000000000e+00
-3.995992000000e-04,4.000000000e-02
-3.995968000000e-04,0.000000000e+00
-3.995944000000e-04,0.000000000e+00
-3.995920000000e-04,4.000000000e-02
-3.995896000000e-04,2.000000000e-02
-3.995872000000e-04,0.000000000e+00
-3.995848000000e-04,2.000000000e-02
-3.995824000000e-04,2.000000000e-02
-3.995800000000e-04,2.000000000e-02
-3.995776000000e-04,0.000000000e+00
-3.995752000000e-04,2.000000000e-02
-3.995728000000e-04,2.000000000e-02
-3.995704000000e-04,0.000000000e+00
-3.995680000000e-04,0.000000000e+00
-3.995656000000e-04,0.000000000e+00
-3.995632000000e-04,0.000000000e+00
-3.995608000000e-04,2.000000000e-02
-3.995584000000e-04,-2.000000000e-02
-3.995560000000e-04,0.000000000e+00
-3.995536000000e-04,2.000000000e-02
-3.995512000000e-04,2.000000000e-02
-3.995488000000e-04,-2.000000000e-02
-3.995464000000e-04,2.000000000e-02
-3.995440000000e-04,0.000000000e+00
-3.995416000000e-04,0.000000000e+00
-3.995392000000e-04,0.000000000e+00
-3.995368000000e-04,2.000000000e-02
-3.995344000000e-04,0.000000000e+00
-3.995320000000e-04,0.000000000e+00
-3.995296000000e-04,0.000000000e+00
-3.995272000000e-04,2.000000000e-02
-3.995248000000e-04,0.000000000e+00
-3.995224000000e-04,4.000000000e-02
-3.995200000000e-04,2.000000000e-02
-3.995176000000e-04,0.000000000e+00
-3.995152000000e-04,2.000000000e-02
-3.995128000000e-04,0.000000000e+00
-3.995104000000e-04,2.000000000e-02
-3.995080000000e-04,4.000000000e-02
-3.995056000000e-04,-2.000000000e-02
-3.995032000000e-04,0.000000000e+00
-3.995008000000e-04,0.000000000e+00
-3.994984000000e-04,0.000000000e+00
-3.994960000000e-04,0.000000000e+00
-3.994936000000e-04,0.000000000e+00
-3.994912000000e-04,0.000000000e+00
-3.994888000000e-04,4.000000000e-02
-3.994864000000e-04,0.000000000e+00
-3.994840000000e-04,2.000000000e-02
-3.994816000000e-04,0.000000000e+00
-3.994792000000e-04,0.000000000e+00
-3.994768000000e-04,2.000000000e-02
-3.994744000000e-04,-2.000000000e-02
-3.994720000000e-04,0.000000000e+00
-3.994696000000e-04,4.000000000e-02
-3.994672000000e-04,0.000000000e+00
-3.994648000000e-04,2.000000000e-02
-3.994624000000e-04,0.000000000e+00
-3.994600000000e-04,0.000000000e+00
-3.994576000000e-04,2.000000000e-02
-3.994552000000e-04,0.000000000e+00
-3.994528000000e-04,0.000000000e+00
-3.994504000000e-04,8.000000000e-02
-3.994480000000e-04,2.000000000e-02
-3.994456000000e-04,2.000000000e-02
-3.994432000000e-04,0.000000000e+00
-3.994408000000e-04,6.000000000e-02
-3.994384000000e-04,2.000000000e-02
-3.994360000000e-04,0.000000000e+00
-3.994336000000e-04,2.000000000e-02
-3.994312000000e-04,2.000000000e-02
-3.994288000000e-04,0.000000000e+00
-3.994264000000e-04,0.000000000e+00
-3.994240000000e-04,0.000000000e+00
-3.994216000000e-04,0.000000000e+00
-3.994192000000e-04,4.000000000e-02
-3.994168000000e-04,2.000000000e-02
-3.994144000000e-04,0.000000000e+00
-3.994120000000e-04,0.000000000e+00
-3.994096000000e-04,0.000000000e+00
-3.994072000000e-04,0.000000000e+00
-3.994048000000e-04,0.000000000e+00
-3.994024000000e-04,0.000000000e+00
-3.994000000000e-04,0.000000000e+00
-3.993976000000e-04,4.000000000e-02
-3.993952000000e-04,2.000000000e-02
-3.993928000000e-04,0.000000000e+00
-3.993904000000e-04,0.000000000e+00
-3.993880000000e-04,0.000000000e+00
-3.993856000000e-04,0.000000000e+00
-3.993832000000e-04,0.000000000e+00
-3.993808000000e-04,0.000000000e+00
-3.993784000000e-04,4.000000000e-02
-3.993760000000e-04,2.000000000e-02
-3.993736000000e-04,0.000000000e+00
-3.993712000000e-04,0.000000000e+00
-3.993688000000e-04,2.000000000e-02
-3.993664000000e-04,0.000000000e+00
-3.993640000000e-04,2.000000000e-02
-3.993616000000e-04,0.000000000e+00
-3.993592000000e-04,0.000000000e+00
-3.993568000000e-04,0.000000000e+00
-3.993544000000e-04,2.000000000e-02
-3.993520000000e-04,0.000000000e+00
-3.993496000000e-04,2.000000000e-02
-3.993472000000e-04,0.000000000e+00
-3.993448000000e-04,0.000000000e+00
-3.993424000000e-04,4.000000000e-02
-3.993400000000e-04,2.000000000e-02
-3.993376000000e-04,0.000000000e+00
-3.993352000000e-04,0.000000000e+00
-3.993328000000e-04,0.000000000e+00
